strategy,bet_no,date_time,match_id,odds_type,side,odds,won,bankroll_before,full_kelly_fraction,bet_fraction,raw_stake_before_cap,stake,fee,net_pnl,bankroll_after,drawdown,hit_bet_cap
kelly_50,125,2025-01-11 18:00:00,12623112,OU,under,1.94,1.0,102422.92437269229,0.07812652110850729,0.039063260554253645,4000.973381499095,4000.973381499095,120.02920144497284,3640.885777164176,106063.81014985646,0.0,False
kelly_50,126,2025-01-11 20:00:00,12412682,HC,home,1.87,1.0,106063.81014985646,0.322158112289061,0.1610790561445305,17084.65843003155,5000.0,150.0,4200.000000000001,110263.81014985646,0.0,True
kelly_50,127,2025-01-12 11:30:00,12623862,1X2,draw,8.4,0.0,110263.81014985646,0.004388665713928792,0.002194332856964396,241.9555015459143,241.9555015459143,7.258665046377429,-249.21416659229172,110014.59598326417,-0.002260162842673378,False
kelly_50,128,2025-01-12 11:30:00,12623862,HC,home,1.9,0.0,110263.81014985646,0.30046571359487595,0.15023285679743797,16565.247200183276,5000.0,150.0,-5150.0,104864.59598326417,-0.048966330469211755,True
kelly_50,129,2025-01-12 13:00:00,12412078,OU,over,2.05,1.0,104864.59598326417,0.032555212366714735,0.016277606183357368,1706.944595992453,1706.944595992453,51.20833787977359,1741.0834879123017,106605.67947117647,-0.03317616789868167,False
kelly_50,130,2025-01-12 14:00:00,12623827,HC,away,1.89,1.0,106605.67947117647,0.8901999102789279,0.44509995513946393,47450.18315023272,5000.0,150.0,4299.999999999999,110905.67947117647,0.0,True
kelly_50,131,2025-01-12 14:30:00,12623534,HC,home,1.85,1.0,110905.67947117647,0.569246493093972,0.284623246546986,31566.334551585664,5000.0,150.0,4100.0,115005.67947117647,0.0,True
kelly_50,132,2025-01-12 15:15:00,12412150,OU,under,1.93,1.0,115005.67947117647,0.03774901576801671,0.018874507884008355,2170.675603884458,2170.675603884458,65.12026811653374,1953.608043496012,116959.28751467248,0.0,False
kelly_50,133,2025-01-12 16:15:00,12623113,HC,home,1.85,1.0,116959.28751467248,0.30242953642320597,0.15121476821160298,17685.97155172543,5000.0,150.0,4100.0,121059.28751467248,0.0,True
kelly_50,134,2025-01-12 16:15:00,12623113,1X2,draw,8.2,0.0,116959.28751467248,0.0042088033177077756,0.0021044016588538878,246.12931866424557,246.12931866424557,7.383879559927367,-253.51319822417295,120805.77431644831,-0.0020941243206428653,False
kelly_50,135,2025-01-12 16:15:00,12425794,1X2,away,2.43,0.0,116959.28751467248,0.022601358699920606,0.011300679349960303,1321.7194052031293,1321.7194052031293,39.65158215609388,-1361.3709873592231,119444.40332908908,-0.013339614157135016,False
