strategy,bet_no,date_time,match_id,odds_type,side,odds,won,bankroll_before,stake,fee,net_pnl,cumulative_pnl,bankroll_after,full_kelly_fraction,target_fraction,drawdown
kelly_100,100,2024-12-27 20:15:00,12409767,1X2,draw,16.0,0.0,106.94125382928402,0.212416988562957,0.0031862548284443,-0.2156032433914014,183.10515010324167,184.10515010324167,0.0020329555700395,0.0020329555700395,-0.001169717676804
kelly_100,101,2024-12-27 20:15:00,12409767,OU,under,2.0,1.0,106.94125382928402,3.998751650856191,0.0599812747628428,3.938770376093348,187.04392047933504,188.04392047933504,0.0382704062269643,0.0382704062269643,0.0
kelly_100,102,2024-12-28 14:00:00,12623791,HC,home,1.82,1.0,188.04392047933504,9.663918256528186,0.1449587738479227,7.77945419650519,194.82337467584023,195.82337467584023,0.051391814379823,0.051391814379823,0.0
kelly_100,103,2024-12-28 14:00:00,12623743,OU,under,2.05,0.0,188.04392047933504,9.343992112906724,0.1401598816936008,-9.484151994600325,185.3392226812399,186.3392226812399,0.0496904770390254,0.0496904770390254,-0.0484321752206552
kelly_100,104,2024-12-28 17:00:00,12623855,1X2,home,5.3,0.0,186.3392226812399,2.1866779043189566,0.0328001685647843,-2.219478072883741,183.11974460835617,184.11974460835617,0.011734930911779,0.011734930911779,-0.0597662566425375
kelly_100,105,2024-12-28 17:00:00,12623855,HC,away,1.88,1.0,186.3392226812399,130.7476874606721,1.9612153119100812,113.09674965348135,296.2164942618375,297.2164942618375,0.7016648753780349,0.7016648753780349,0.0
kelly_100,106,2024-12-29 12:30:00,12449904,1X2,away,2.89,0.0,297.2164942618375,8.875466030192863,0.1331319904528929,-9.008598020645756,287.20789624119175,288.20789624119175,0.0298619565251108,0.0298619565251108,-0.0303098858729875
kelly_100,107,2024-12-29 14:00:00,12623694,1X2,draw,15.0,0.0,288.20789624119175,1.0931484213642928,0.0163972263204643,-1.1095456476847572,286.098350593507,287.098350593507,0.0037929162789123,0.0037929162789123,-0.0340430085936508
kelly_100,108,2024-12-29 14:30:00,12409724,HC,away,1.8,1.0,287.098350593507,266.67907576331,4.000186136449649,209.34307447419835,495.4414250677054,496.4414250677054,0.9410742670396356,0.9410742670396356,0.0
kelly_100,109,2024-12-29 14:30:00,12409724,1X2,home,6.8,0.0,287.098350593507,2.8895438591324702,0.043343157886987,-2.9328870170194574,492.5085380506859,493.5085380506859,0.0101968081355038,0.0101968081355038,-0.0059078208806194
kelly_100,110,2024-12-29 14:30:00,12409724,OU,under,2.0,1.0,287.098350593507,13.28689820367282,0.1993034730550923,13.087594730617727,505.5961327813036,506.5961327813036,0.0468876605802754,0.0468876605802754,0.0
kelly_100,111,2024-12-29 15:00:00,12409774,HC,home,1.86,0.0,506.5961327813036,34.823618925328674,0.5223542838799301,-35.3459732092086,470.250159572095,471.250159572095,0.0687403962879478,0.0687403962879478,-0.069771502232267
kelly_100,112,2024-12-29 15:00:00,12409773,1X2,away,4.25,0.0,506.5961327813036,7.283577843938144,0.1092536676590721,-7.392831511597216,462.85732806049776,463.85732806049776,0.0143774840995133,0.0143774840995133,-0.0843646485932731
kelly_100,113,2024-12-29 15:00:00,12409756,HC,home,1.96,1.0,506.5961327813036,48.07117026260604,0.7210675539390905,45.4272558981627,508.2845839586605,509.2845839586605,0.0948905195913887,0.0948905195913887,0.0
kelly_100,114,2024-12-29 15:00:00,12409761,OU,under,1.85,0.0,506.5961327813036,23.31506414247388,0.3497259621371081,-23.664790104610983,484.6197938540495,485.6197938540495,0.046022980898946,0.046022980898946,-0.0464667316663406
kelly_100,115,2024-12-29 17:00:00,12623688,1X2,away,2.67,0.0,485.6197938540495,14.8904965970321,0.2233574489554815,-15.113854045987582,469.5059398080619,470.5059398080619,0.0306628699766454,0.0306628699766454,-0.0761433692910412
